episode,reward,steps,energy,charge_visits,cleaned_cells,success,epsilon,blocked,battery_dead,time_since_start_sec,episode_chunk_time_sec,stop_reason,success_rate,battery,cleaned,model_name,algorithm
109,63.9,250,250,24,40,0,0.9265,0,False,45.78,0.541,,0.0%,16/16,40/48,ddqn-no-obstacle,DDQN
110,71.7,250,250,19,42,0,0.9259,0,False,46.361,0.58,,0.0%,4/16,42/48,ddqn-no-obstacle,DDQN
111,83.5,250,250,19,44,0,0.9252,0,False,46.918,0.556,,0.0%,6/16,44/48,ddqn-no-obstacle,DDQN
112,77.0,250,250,21,44,0,0.9246,0,False,47.459,0.541,,0.0%,4/16,44/48,ddqn-no-obstacle,DDQN
113,75.5,250,250,22,42,0,0.9239,0,False,48.116,0.657,,0.0%,8/16,42/48,ddqn-no-obstacle,DDQN
114,58.9,250,250,20,39,0,0.9233,0,False,48.69,0.574,,0.0%,4/16,39/48,ddqn-no-obstacle,DDQN
115,61.1,250,250,25,40,0,0.9226,0,False,49.228,0.537,,0.0%,6/16,40/48,ddqn-no-obstacle,DDQN
116,71.4,250,250,19,41,0,0.922,0,False,49.792,0.563,,0.0%,4/16,41/48,ddqn-no-obstacle,DDQN
117,78.5,250,250,23,44,0,0.9213,0,False,50.346,0.554,,0.0%,14/16,44/48,ddqn-no-obstacle,DDQN
118,65.3,250,250,27,41,0,0.9207,0,False,50.936,0.59,,0.0%,2/16,41/48,ddqn-no-obstacle,DDQN
119,70.9,250,250,19,42,0,0.92,0,False,51.489,0.552,,0.0%,2/16,42/48,ddqn-no-obstacle,DDQN
120,88.8,250,250,25,45,0,0.9194,0,False,52.043,0.554,,0.0%,16/16,45/48,ddqn-no-obstacle,DDQN
121,61.3,250,250,28,41,0,0.9188,0,False,52.774,0.73,,0.0%,14/16,41/48,ddqn-no-obstacle,DDQN
122,94.3,250,250,24,46,0,0.9181,0,False,53.334,0.559,,0.0%,8/16,46/48,ddqn-no-obstacle,DDQN
123,66.0,250,250,26,42,0,0.9175,0,False,53.893,0.558,,0.0%,2/16,42/48,ddqn-no-obstacle,DDQN
124,46.4,250,250,30,38,0,0.9168,0,False,54.445,0.551,,0.0%,16/16,38/48,ddqn-no-obstacle,DDQN
125,70.7,250,250,18,41,0,0.9162,0,False,55.026,0.58,,0.0%,4/16,41/48,ddqn-no-obstacle,DDQN
126,75.6,250,250,20,43,0,0.9155,0,False,55.607,0.581,,0.0%,6/16,43/48,ddqn-no-obstacle,DDQN
127,74.0,250,250,23,42,0,0.9149,0,False,56.156,0.548,,0.0%,16/16,42/48,ddqn-no-obstacle,DDQN
128,80.3,250,250,21,44,0,0.9143,0,False,56.821,0.665,,0.0%,8/16,44/48,ddqn-no-obstacle,DDQN
129,75.2,250,250,22,42,0,0.9136,0,False,57.398,0.577,,0.0%,12/16,42/48,ddqn-no-obstacle,DDQN
130,76.2,250,250,21,43,0,0.913,0,False,57.981,0.582,,0.0%,6/16,43/48,ddqn-no-obstacle,DDQN
131,67.7,250,250,19,41,0,0.9123,0,False,58.531,0.55,,0.0%,4/16,41/48,ddqn-no-obstacle,DDQN
132,79.0,250,250,24,44,0,0.9117,0,False,59.123,0.591,,0.0%,2/16,44/48,ddqn-no-obstacle,DDQN
133,56.9,250,250,21,39,0,0.9111,0,False,59.744,0.62,,0.0%,2/16,39/48,ddqn-no-obstacle,DDQN
134,87.9,250,250,24,45,0,0.9104,0,False,60.649,0.904,,0.0%,16/16,45/48,ddqn-no-obstacle,DDQN
135,76.5,250,250,28,44,0,0.9098,0,False,61.473,0.824,,0.0%,6/16,44/48,ddqn-no-obstacle,DDQN
136,71.8,250,250,23,43,0,0.9092,0,False,62.337,0.863,,0.0%,10/16,43/48,ddqn-no-obstacle,DDQN
137,70.2,250,250,26,41,0,0.9085,0,False,63.136,0.799,,0.0%,14/16,41/48,ddqn-no-obstacle,DDQN
138,76.2,250,250,22,44,0,0.9079,0,False,63.909,0.772,,0.0%,12/16,44/48,ddqn-no-obstacle,DDQN
139,71.5,250,250,21,42,0,0.9073,0,False,64.542,0.633,,0.0%,14/16,42/48,ddqn-no-obstacle,DDQN
140,78.2,250,250,20,43,0,0.9066,0,False,65.229,0.687,,0.0%,6/16,43/48,ddqn-no-obstacle,DDQN
141,90.4,250,250,26,46,0,0.906,0,False,66.002,0.772,,0.0%,10/16,46/48,ddqn-no-obstacle,DDQN
142,90.3,250,250,21,45,0,0.9053,0,False,66.643,0.64,,0.0%,4/16,45/48,ddqn-no-obstacle,DDQN
143,89.1,250,250,22,45,0,0.9047,0,False,67.32,0.677,,0.0%,14/16,45/48,ddqn-no-obstacle,DDQN
144,66.6,250,250,24,42,0,0.9041,0,False,67.914,0.594,,0.0%,4/16,42/48,ddqn-no-obstacle,DDQN
145,68.1,250,250,27,42,0,0.9034,0,False,68.486,0.571,,0.0%,2/16,42/48,ddqn-no-obstacle,DDQN
146,35.6,250,250,26,35,0,0.9028,0,False,69.048,0.562,,0.0%,4/16,35/48,ddqn-no-obstacle,DDQN
147,78.7,250,250,23,43,0,0.9022,0,False,69.631,0.583,,0.0%,16/16,43/48,ddqn-no-obstacle,DDQN
148,82.1,250,250,27,44,0,0.9016,0,False,70.203,0.571,,0.0%,14/16,44/48,ddqn-no-obstacle,DDQN
149,87.6,250,250,25,46,0,0.9009,0,False,70.777,0.574,,0.0%,6/16,46/48,ddqn-no-obstacle,DDQN
150,69.3,250,250,19,40,0,0.9003,0,False,71.454,0.677,,0.0%,8/16,40/48,ddqn-no-obstacle,DDQN
151,98.7,250,250,22,47,0,0.8997,0,False,72.032,0.578,,0.0%,14/16,47/48,ddqn-no-obstacle,DDQN
152,90.0,250,250,22,45,0,0.899,0,False,72.623,0.59,,0.0%,16/16,45/48,ddqn-no-obstacle,DDQN
153,90.8,250,250,23,45,0,0.8984,0,False,73.178,0.555,,0.0%,16/16,45/48,ddqn-no-obstacle,DDQN
154,74.7,250,250,22,43,0,0.8978,0,False,73.761,0.583,,0.0%,12/16,43/48,ddqn-no-obstacle,DDQN
155,91.1,250,250,25,46,0,0.8971,0,False,74.339,0.577,,0.0%,6/16,46/48,ddqn-no-obstacle,DDQN
156,93.0,250,250,29,46,0,0.8965,0,False,74.909,0.57,,0.0%,16/16,46/48,ddqn-no-obstacle,DDQN
157,68.3,250,250,19,42,0,0.8959,0,False,75.572,0.662,,0.0%,4/16,42/48,ddqn-no-obstacle,DDQN
158,73.8,250,250,20,42,0,0.8953,0,False,76.158,0.586,,0.0%,16/16,42/48,ddqn-no-obstacle,DDQN
159,72.4,250,250,23,42,0,0.8946,0,False,76.722,0.563,,0.0%,2/16,42/48,ddqn-no-obstacle,DDQN
160,69.8,250,250,26,42,0,0.894,0,False,77.306,0.584,,0.0%,4/16,42/48,ddqn-no-obstacle,DDQN
161,93.8,250,250,19,45,0,0.8934,0,False,77.901,0.594,,0.0%,2/16,45/48,ddqn-no-obstacle,DDQN
162,77.6,250,250,19,42,0,0.8928,0,False,78.45,0.548,,0.0%,4/16,42/48,ddqn-no-obstacle,DDQN
163,79.5,250,250,22,44,0,0.8921,0,False,79.004,0.554,,0.0%,14/16,44/48,ddqn-no-obstacle,DDQN
164,76.3,250,250,20,43,0,0.8915,0,False,79.684,0.679,,0.0%,8/16,43/48,ddqn-no-obstacle,DDQN
165,73.0,250,250,24,42,0,0.8909,0,False,80.261,0.577,,0.0%,16/16,42/48,ddqn-no-obstacle,DDQN
166,71.8,250,250,26,42,0,0.8903,0,False,80.802,0.541,,0.0%,2/16,42/48,ddqn-no-obstacle,DDQN
167,100.2,250,250,22,47,0,0.8896,0,False,81.348,0.545,,0.0%,4/16,47/48,ddqn-no-obstacle,DDQN
168,81.9,250,250,22,44,0,0.889,0,False,81.927,0.579,,0.0%,8/16,44/48,ddqn-no-obstacle,DDQN
169,102.0,250,250,21,48,1,0.8884,0,False,82.509,0.581,,2.0%,2/16,48/48,ddqn-no-obstacle,DDQN
170,53.1,250,250,25,39,0,0.8878,0,False,83.064,0.554,,2.0%,6/16,39/48,ddqn-no-obstacle,DDQN
171,67.7,250,250,24,41,0,0.8871,0,False,83.723,0.659,,2.0%,12/16,41/48,ddqn-no-obstacle,DDQN
172,96.9,250,250,24,47,0,0.8865,0,False,84.315,0.591,,2.0%,16/16,47/48,ddqn-no-obstacle,DDQN
173,102.5,250,250,19,48,1,0.8859,0,False,84.878,0.562,,4.0%,4/16,48/48,ddqn-no-obstacle,DDQN
174,97.4,250,250,21,46,0,0.8853,0,False,85.441,0.563,,4.0%,12/16,46/48,ddqn-no-obstacle,DDQN
175,69.6,250,250,24,41,0,0.8847,0,False,86.029,0.587,,4.0%,8/16,41/48,ddqn-no-obstacle,DDQN
176,91.8,250,250,22,46,0,0.884,0,False,86.634,0.604,,4.0%,4/16,46/48,ddqn-no-obstacle,DDQN
177,97.7,250,250,22,47,0,0.8834,0,False,87.194,0.559,,4.0%,6/16,47/48,ddqn-no-obstacle,DDQN
178,40.3,250,250,29,37,0,0.8828,0,False,87.751,0.556,,4.0%,12/16,37/48,ddqn-no-obstacle,DDQN
179,89.7,250,250,20,45,0,0.8822,0,False,88.444,0.693,,4.0%,16/16,45/48,ddqn-no-obstacle,DDQN
