episode,reward,steps,energy,charge_visits,cleaned_cells,success,epsilon,blocked,battery_dead,time_since_start_sec,episode_chunk_time_sec,stop_reason,success_rate,battery,cleaned,model_name,algorithm
126,98.6,250,250,22,47,0,0.9155,0,False,63.204,0.776,,0.0%,2/16,47/48,dqn-no-obstacle,DQN
127,75.3,250,250,28,43,0,0.9149,0,False,64.05,0.846,,0.0%,8/16,43/48,dqn-no-obstacle,DQN
128,93.7,250,250,23,46,0,0.9143,0,False,64.833,0.782,,0.0%,12/16,46/48,dqn-no-obstacle,DQN
129,74.8,250,250,16,42,0,0.9136,0,False,65.558,0.724,,0.0%,6/16,42/48,dqn-no-obstacle,DQN
130,91.1,250,250,18,45,0,0.913,0,False,66.231,0.673,,0.0%,16/16,45/48,dqn-no-obstacle,DQN
131,57.7,250,250,22,39,0,0.9123,0,False,66.808,0.576,,0.0%,12/16,39/48,dqn-no-obstacle,DQN
132,72.9,250,250,33,43,0,0.9117,0,False,67.406,0.598,,0.0%,6/16,43/48,dqn-no-obstacle,DQN
133,93.2,250,250,24,47,0,0.9111,0,False,67.986,0.579,,0.0%,6/16,47/48,dqn-no-obstacle,DQN
134,89.7,250,250,21,46,0,0.9104,0,False,68.707,0.721,,0.0%,14/16,46/48,dqn-no-obstacle,DQN
135,50.6,250,250,22,38,0,0.9098,0,False,69.261,0.554,,0.0%,16/16,38/48,dqn-no-obstacle,DQN
136,89.8,250,250,20,45,0,0.9092,0,False,69.919,0.658,,0.0%,6/16,45/48,dqn-no-obstacle,DQN
137,54.0,250,250,23,38,0,0.9085,0,False,70.81,0.89,,0.0%,16/16,38/48,dqn-no-obstacle,DQN
138,96.7,250,250,18,46,0,0.9079,0,False,71.935,1.125,,0.0%,12/16,46/48,dqn-no-obstacle,DQN
139,82.3,250,250,21,44,0,0.9073,0,False,72.62,0.685,,0.0%,8/16,44/48,dqn-no-obstacle,DQN
140,72.0,250,250,19,42,0,0.9066,0,False,73.402,0.782,,0.0%,10/16,42/48,dqn-no-obstacle,DQN
141,66.4,250,250,22,41,0,0.906,0,False,74.158,0.755,,0.0%,14/16,41/48,dqn-no-obstacle,DQN
142,72.2,250,250,24,42,0,0.9053,0,False,74.779,0.621,,0.0%,2/16,42/48,dqn-no-obstacle,DQN
143,58.1,250,250,25,40,0,0.9047,0,False,75.394,0.614,,0.0%,4/16,40/48,dqn-no-obstacle,DQN
144,53.2,250,250,24,39,0,0.9041,0,False,76.058,0.664,,0.0%,4/16,39/48,dqn-no-obstacle,DQN
145,46.2,250,250,25,38,0,0.9034,0,False,76.615,0.556,,0.0%,4/16,38/48,dqn-no-obstacle,DQN
146,86.2,250,250,30,47,0,0.9028,0,False,77.307,0.692,,0.0%,8/16,47/48,dqn-no-obstacle,DQN
147,72.3,250,250,28,44,0,0.9022,0,False,77.886,0.578,,0.0%,2/16,44/48,dqn-no-obstacle,DQN
148,90.6,250,250,27,45,0,0.9016,0,False,78.783,0.896,,0.0%,16/16,45/48,dqn-no-obstacle,DQN
